type,name,description,gbif_prov,gbif_data,broad_taxa,taxa,logo,website
Recording Scheme,Woodlice & Waterlice Recording Scheme,Run by the British Myriapod and Isopod Group,,8a37280c-9310-4ce9-835c-5a14d35b84aa,4. Invertebrates: Non-insects,Woodlice and Waterlice,,https://bmig.org.uk/
Study Group,British Phycological Society,,,,"1. Plants, lichens and fungi",Seaweeds and freshwater algae,,https://brphycsoc.org/
Recording Scheme,British Trust for Ornithology,,,,2. Vertebrates,Birds,,https://www.bto.org/
Monitoring Scheme,Bumblebee Conservation Trust BeeWalks,,4ae6aa70-3374-49d3-b0e8-47c2da4fb69a,80df9ab6-fb28-422c-8b86-e92cf9bfdbf7,3. Invertebrates: Other insects,Bumblebees,,https://beewalk.org.uk/
Recording Scheme,Butterflies for the New Millennium,,0d72dd7f-6f05-46af-85c2-8b6e77ce5534,d59ea6f3-f758-4d84-8c90-be078629127e; a7e947a1-15d4-43ab-a244-b4e7511e5423,3. Invertebrates: Other insects,Butterflies,,https://butterfly-conservation.org/
Recording Scheme,Caddisfly Recording Scheme,Collected together under Riverfly Recording Schemes,125b5016-8748-43a8-ae03-632345d3262a,5187a2f9-91f1-4511-b4f0-60a2658a7e36; bba60198-3eb5-4101-954d-3e2c87df4b73,3. Invertebrates: Other insects,Caddisflies,,https://schemes.brc.ac.uk/rrs/trichoptera.htm
Recording Scheme,Calliphoridae and Rhiniidae Recording Scheme,,,5c1a99f0-8e78-4d47-9ee6-89ed22ac5cd1,3. Invertebrates: Flies,Blowflies,,https://dipterists.org.uk/calliphoridae-scheme/home
Study Group,Chironomidae Study Group,,,,3. Invertebrates: Flies,Chironomid flies,,https://dipterists.org.uk/chironomidae-group/home
Recording Scheme,Chloropidae Recording Scheme,,,,3. Invertebrates: Flies,Chloropid flies,,https://dipterists.org.uk/chloropidae-scheme/home
Recording Scheme,Chrysomelidae Recording Scheme,,98f2e583-a557-46b5-98b9-05561f144966,,3. Invertebrates: Beetles,Leaf-beetles,,https://coleoptera.org.uk/chrysomelidae/home
Study Group,Cladocera Interest Group,,233f1f36-3081-43d7-b987-3ad5d36fd165,,4. Invertebrates: Non-insects,Water fleas,,http://www.cladocera.org.uk/
Recording Scheme,Clown Beetles Recording Scheme,,,,3. Invertebrates: Beetles,Clown Beetles,,https://coleoptera.org.uk/histeridae/home
Recording Scheme,Non-marine Mollusc Recording Scheme,Run by the Conchological Society of Great Britain and Ireland,dccfcdcf-d272-45c8-85cb-e3dbf18b8a34,,4. Invertebrates: Non-insects,Non-marine molluscs,,https://conchsoc.org/node/6952
Recording Scheme,"Conopidae, Lonchopteridae & Picture-winged Fly Recording Scheme",,,,3. Invertebrates: Flies,"Conopid, lonchopterid & picture-winged flies",,https://dipterists.org.uk/conopidae-scheme/home
Recording Scheme,Crambidae & Pyralidae Recording Scheme,,,,3. Invertebrates: Other insects,Grass & Pyralid moths,,https://www.brc.ac.uk/scheme/crambidae-pyralidae-recording-scheme
